Time,PV,OP,,,,,,,,,
1,-3.04111945058305,-7.04298241143108,,,,,,,,,
2,-4.94977843190629,-7.04298241143108,,,,,,,,,
3,-4.34359299565751,-7.04298241143108,,,,,,,,,
4,-5.81597065354783,-7.04298241143108,,,,,,,,,
5,-6.16312443639238,-7.04298241143108,,,,,,,,,
6,-6.34615635301072,-7.04298241143108,,,,,,,,,
7,-6.44889938260515,-7.04298241143108,,,,,,,,,
8,-6.10195254708726,-7.04298241143108,,,,,,,,,
9,-6.49731718923051,-7.04298241143108,,,,,,,,,
10,-6.51275193120439,-7.04298241143108,,,,,,,,,
11,-6.55515920545060,-7.04298241143108,,,,,,,,,
12,-6.51333343411882,-7.04298241143108,,,,,,,,,
13,-6.56631910230119,-7.04298241143108,,,,,,,,,
14,-5.88760232354600,-7.04298241143108,,,,,,,,,
15,-4.97295367146928,-7.04298241143108,,,,,,,,,
16,1.04305375193160,-7.04298241143108,,,,,,,,,
17,2.92875588511031,16.17625586981890,,,,,,,,,
18,4.85810483072798,-3.18498713974834,,,,,,,,,
19,6.96303952311080,12.58409469123010,,,,,,,,,
20,7.03840840433638,10.54435126776810,,,,,,,,,
21,4.38358510111373,12.58188216681600,,,,,,,,,
22,2.67176926706832,11.11916320319290,,,,,,,,,
23,1.43565095041793,7.15528266425251,,,,,,,,,
24,0.49913895700972,10.09344451422810,,,,,,,,,
25,-0.26943766499956,3.29248111243367,,,,,,,,,
26,-0.84140240575273,-7.04298241143108,,,,,,,,,
27,-1.73268258000810,-6.46005941634060,,,,,,,,,
28,-2.11892687703569,-7.04298241143108,,,,,,,,,
29,-2.61355578328569,-7.04298241143108,,,,,,,,,
30,-1.41405665303666,-7.04298241143108,,,,,,,,,
31,-2.36827361012895,-7.04298241143108,,,,,,,,,
32,-2.39652192021806,-7.04298241143108,,,,,,,,,
33,-2.78525816823442,-7.04298241143108,,,,,,,,,
34,-2.65286623860795,-7.04298241143108,,,,,,,,,
35,0.10330355738204,6.86752860541462,,,,,,,,,
36,2.50847066019576,-7.04298241143108,,,,,,,,,
37,8.39828122232955,13.14705817694780,,,,,,,,,
38,9.76114571665328,13.17289512152790,,,,,,,,,
