Time,PV,OP
1,-1.29866538,0.206532805
2,-1.439790105,0.193633883
3,-1.59603629,0.189667075
4,-1.681241368,0.186814397
5,-1.893571233,0.185598939
6,-2.038842534,0.185659259
7,-2.11033759,0.180755704
8,-2.305486058,0.182065814
9,-2.537015294,0.192174285
10,-2.740037297,0.2032319
11,-2.972920751,0.199260324
12,-3.130093907,0.20639643
13,-3.336488103,0.198202937
14,-3.496239995,0.198089688
15,-3.656483983,0.200047105
16,-3.821206426,0.196126788
17,-4.039899205,0.197266429
18,-4.243176793,0.193180888
19,-4.388558721,0.191915124
20,-4.592465734,0.200758069
21,-4.745519017,0.200155824
22,-4.971219396,0.199390738
23,-3.615495061,-0.008111627
24,-2.780705785,-0.15895024
25,-2.189164495,-0.160719783
26,-1.625794744,-0.173323543
27,-1.023660039,-0.182421596
28,-0.449662541,-0.181011111
29,0.091826106,-0.174860389
30,0.677195216,-0.180756957
31,1.267950679,-0.178073079
32,1.79685464,-0.168802173
33,2.318884517,-0.165110261
34,2.838061,-0.158848435
35,3.379557277,-0.158474833
36,3.936323787,-0.158541829
37,3.345488215,0.062722772
38,3.234884883,0.065868228
39,3.333567286,0.065966456
40,3.425390864,0.07578048
41,3.469706202,0.06913647
42,3.582922603,0.066993087
43,3.637365962,0.069501727
44,3.729231502,0.068133204
45,3.847777034,0.064157575
46,3.9315516,0.070462554
47,3.972666408,0.06992039
48,4.043047572,0.065909474
49,4.170721675,0.063231318
50,4.301809932,0.048020928
51,4.402105952,0.053256839
52,4.514620448,0.058404534
53,4.616190577,0.055487483
54,4.727751399,0.05751261
55,4.821535731,0.05608949
56,4.891329432,0.066739886
57,4.892981196,0.068379729
58,4.96671548,0.071318238
59,5.0527102,0.066904395
60,5.169375087,0.071532815
61,5.233271266,0.06867513
62,5.292833949,0.072940915
63,5.359869624,0.072172969
64,5.468847896,0.073518126
65,5.525175715,0.069334834
66,5.604578639,0.07297787
67,5.671137477,0.070131867
68,5.715532924,0.081291526
69,5.763090754,0.079123347
70,5.815069819,0.085178702
71,5.886736537,0.079846471
72,5.445189143,0.164089768
73,5.347696925,0.160029023
74,5.163866664,0.166238635
75,5.040827418,0.170074552
76,4.979834224,0.16692242
77,4.865374232,0.158880561
78,4.716829921,0.16411814
79,4.556166316,0.176514237
80,4.38366952,0.184496968
81,4.207728053,0.176974624
82,4.09611764,0.177052587
83,3.97528329,0.17556247
84,3.826460505,0.178767055
85,3.679621364,0.175404637
86,3.519060756,0.180267423
87,3.388830806,0.1808649
88,3.263796473,0.17258796
89,3.115004207,0.180206626
90,2.926184321,0.183607667
91,2.835493709,0.175547212
92,2.643671657,0.183620065
93,2.523428584,0.178784459
94,2.407671596,0.175328343
95,2.32060113,0.168690532
96,2.237230922,0.16317138
97,2.125517512,0.163888305
98,2.006102229,0.173525661
99,1.865523005,0.169830411
100,1.800104762,0.163916438
101,1.655371333,0.162915795
102,1.502932216,0.186418384
103,1.311697627,0.188251584
104,1.147886897,0.184752315
105,1.050718928,0.180395692
106,0.914755488,0.17495045
107,0.789393092,0.182140677
108,0.61553445,0.174600928
109,0.499144221,0.188105433
110,0.30662408,0.181266635
111,0.190176631,0.178145259
112,0.052534724,0.176745503
113,-0.080548619,0.179125636
114,-0.2389997,0.180254786
115,-0.375680303,0.176108449
116,-0.54570136,0.188887923
117,-0.693986272,0.182547181
118,-0.739995336,0.169337838
119,-0.828637456,0.166608661
120,-0.970750188,0.162474483
121,-1.076062535,0.163664906
122,-1.185326909,0.167596906
123,-1.272618627,0.167235463
124,-1.408475255,0.163899272
125,-1.608731603,0.176900952
126,-1.762189244,0.189030498
127,-1.93966422,0.179933398
128,-2.055054998,0.179711907
129,-2.169263219,0.177306025
130,-2.308129644,0.18363127
131,-2.453278874,0.17904362
132,-2.6332067,0.176077455
133,-2.762334203,0.183755725
134,-2.915559148,0.176533549
135,-3.113381719,0.177240699
136,-3.186898564,0.187188952
137,-3.347428655,0.17556104
138,-3.465401982,0.177499383
139,-3.65104041,0.182800143
140,-3.764272069,0.179159492
141,-3.916303014,0.178198903
142,-4.037427281,0.171731799
143,-4.180787419,0.179372161
144,-4.336102819,0.179593175
145,-4.535207128,0.175695746
146,-4.58741126,0.177094071
147,-4.708833074,0.164568751
148,-3.70648322,-0.052874953
149,-3.234689092,-0.052624852
150,-2.945046758,-0.050986201
151,-2.588582372,-0.052030952
152,-2.257600164,-0.059385211
153,-1.882375096,-0.065254361
154,-1.626794194,-0.063618571
155,-1.242993688,-0.057197482
156,-0.956391667,-0.0443739
157,-0.627457952,-0.053521783
158,-0.323449468,-0.049426467
159,0.041472102,-0.049675376
160,0.358992244,-0.057151706
161,0.722742701,-0.057030589
162,0.992911006,-0.054527194
