Data,SI,Sudut,m,n,Status,
111,11.8331,1.38369,3.93702,1.66342, TRUE, 
112,20.1356,1.45516,4.38294,1.91232, TRUE, 
113,0,1.62535,3.88329, -1.#IND, FALSE, 
114,0,1.57527,4.20848, -1.#IND, FALSE, 
115,0,1.63365,4.31086, -1.#IND, FALSE, 
116,0,1.67394,4.39486, -1.#IND, FALSE, 
117,0,1.70869,4.43327, -1.#IND, FALSE, 
118,0,1.74952,4.43022, -1.#IND, FALSE, 
119,0,1.78328,4.41829, -1.#IND, FALSE, 
120,0,1.81169,4.43238, -1.#IND, FALSE, 
121,0,1.83097,4.47986, -1.#IND, FALSE, 
122,0,1.85378,4.51469, -1.#IND, FALSE, 
123,0,1.87575,4.5172, -1.#IND, FALSE, 
124,0,1.89841,4.50986, -1.#IND, FALSE, 
125,0,1.91656,4.50425, -1.#IND, FALSE, 
126,0,1.93561,4.49624, -1.#IND, FALSE, 
127,0,1.95599,4.46734, -1.#IND, FALSE, 
128,0,1.97683,4.41884, -1.#IND, FALSE, 
129,0,1.99122,4.4315, -1.#IND, FALSE, 
130,0,2.01217,4.40423, -1.#IND, FALSE, 
131,0,2.032,4.3912, -1.#IND, FALSE, 
132,0,2.06798,4.24893, -1.#IND, FALSE, 
133,0,2.1169,4.01116, -1.#IND, FALSE, 
134,0,2.17636,3.65345, -1.#IND, FALSE, 
135,0,2.24265,3.2169, -1.#IND, FALSE, 
136,0,2.31024,2.76159, -1.#IND, FALSE, 
137,0,2.3824,2.28665, -1.#IND, FALSE, 
138,0,2.46428,1.78303, -1.#IND, FALSE, 
139,0,2.54197,1.3516, -1.#IND, FALSE, 
140,0,2.61033,1.01786, -1.#IND, FALSE, 
141,0,2.6737,0.753132, -1.#IND, FALSE, 
142,0,2.73353,0.544278, -1.#IND, FALSE, 
143,0,2.78531,0.394147, -1.#IND, FALSE, 
144,0,2.83535,0.27563, -1.#IND, FALSE, 
145,0,2.88236,0.186983, -1.#IND, FALSE, 
146,0,2.92194,0.127648, -1.#IND, FALSE, 
147,0,2.95757,0.0857315, -1.#IND, FALSE, 
148,0,2.99327,0.0532117, -1.#IND, FALSE, 
149,0,3.02416,0.0319712, -1.#IND, FALSE, 
150,0,3.0523,0.0178786, -1.#IND, FALSE, 
151,0,3.0786,0.00862367, -1.#IND, FALSE, 
152,0,3.10442,0.00291587, -1.#IND, FALSE, 
153,0,3.13206,0.000187009, -1.#IND, FALSE, 
154,0,3.12549,0.000521529, -1.#IND, FALSE, 
155,0,3.10131,0.00320634, -1.#IND, FALSE, 
156,0,3.07698,0.00801503, -1.#IND, FALSE, 
157,2.82053,3.05193,0.0158182,1296.92, TRUE, 
158,2.82566,3.02764,0.0254764,1091.62, TRUE, 
159,2.843,3.00387,0.037368,1321.74, TRUE, 
160,2.88346,2.98019,0.0522969,2444.13, TRUE, 
161,0,2.95366,0.0682372, -1.#IND, FALSE, 
162,0,2.92637,0.0910302, -1.#IND, FALSE, 
163,0,2.89667,0.119613, -1.#IND, FALSE, 
164,0,2.86546,0.15597, -1.#IND, FALSE, 
165,0,2.83185,0.202874, -1.#IND, FALSE, 
166,0,2.7983,0.259608, -1.#IND, FALSE, 
167,0,2.76367,0.329614, -1.#IND, FALSE, 
168,0,2.72418,0.422667, -1.#IND, FALSE, 
169,0,2.68014,0.544335, -1.#IND, FALSE, 
170,0,2.63309,0.700319, -1.#IND, FALSE, 
171,0,2.58221,0.898947, -1.#IND, FALSE, 
172,0,2.52612,1.14844, -1.#IND, FALSE, 
173,0,2.46721,1.45538, -1.#IND, FALSE, 
174,0,2.40502,1.82977, -1.#IND, FALSE, 
175,0,0.803869,2.28186, -1.#IND, FALSE, 
176,0,0.875403,2.80773, -1.#IND, FALSE, 
177,0,0.946337,3.38822, -1.#IND, FALSE, 
178,0,1.01619,3.99267, -1.#IND, FALSE, 
179,0,2.05896,4.61686, -1.#IND, FALSE, 
180,0,1.99616,5.23265, -1.#IND, FALSE, 
181,0,1.93746,5.79039, -1.#IND, FALSE, 
182,0,1.88462,6.33689, -1.#IND, FALSE, 
183,0,1.83738,6.82617, -1.#IND, FALSE, 
184,0,1.79237,7.27154, -1.#IND, FALSE, 
185,0,1.74967,7.75339, -1.#IND, FALSE, 
186,0,1.71013,8.18037, -1.#IND, FALSE, 
187,0,1.67436,8.5816, -1.#IND, FALSE, 
188,0,1.6395,9.00041, -1.#IND, FALSE, 
189,0,1.60614,9.47149, -1.#IND, FALSE, 
190,0,1.57365,9.85835, -1.#IND, FALSE, 
191,0,1.54192,10.1695, -1.#IND, FALSE, 
192,0,1.51057,10.3997, -1.#IND, FALSE, 
193,0,1.47762,10.6283, -1.#IND, FALSE, 
194,0,1.44404,10.8068, -1.#IND, FALSE, 
195,0,1.4082,11.0038, -1.#IND, FALSE, 
196,0,1.3675,11.149, -1.#IND, FALSE, 
197,0,1.32089,11.2309, -1.#IND, FALSE, 
198,0,1.27163,11.1011, -1.#IND, FALSE, 
199,0,1.22233,10.7044, -1.#IND, FALSE, 
200,0,1.16336,10.1326, -1.#IND, FALSE, 
201,0,2.04717,9.30956, -1.#IND, FALSE, 
202,0,2.12502,8.22572, -1.#IND, FALSE, 
203,0,2.21154,6.92569, -1.#IND, FALSE, 
204,0,2.30002,5.57676, -1.#IND, FALSE, 
205,0,2.39748,4.20526, -1.#IND, FALSE, 
206,0,2.50025,2.94746, -1.#IND, FALSE, 
207,0,2.60407,1.91122, -1.#IND, FALSE, 
208,0,2.69926,1.17415, -1.#IND, FALSE, 
209,0,2.78505,0.685276, -1.#IND, FALSE, 
210,0,2.85301,0.403936, -1.#IND, FALSE, 
211,0,2.91281,0.228721, -1.#IND, FALSE, 
212,0,2.96404,0.124862, -1.#IND, FALSE, 
213,0,3.0085,0.0641499, -1.#IND, FALSE, 
214,0,3.04635,0.0303377, -1.#IND, FALSE, 
215,0,3.07581,0.0135187, -1.#IND, FALSE, 
216,0,3.10306,0.00434741, -1.#IND, FALSE, 
217,0,3.13119,0.00029869, -1.#IND, FALSE, 
218,0,3.12635,0.000608397, -1.#IND, FALSE, 
219,0,3.10376,0.00359383, -1.#IND, FALSE, 
220,0,3.0821,0.00856111, -1.#IND, FALSE, 
221,0,3.06255,0.0146627, -1.#IND, FALSE, 
222,0,3.04358,0.0219615, -1.#IND, FALSE, 
223,0,3.02633,0.029644, -1.#IND, FALSE, 
224,0,3.0087,0.0385792, -1.#IND, FALSE, 
225,0,2.99031,0.0491302, -1.#IND, FALSE, 
226,0,2.97264,0.0603928, -1.#IND, FALSE, 
227,0,2.95461,0.0735065, -1.#IND, FALSE, 
228,0,2.93651,0.0879515, -1.#IND, FALSE, 
229,0,2.91938,0.103106, -1.#IND, FALSE, 
230,0,2.90164,0.120612, -1.#IND, FALSE, 
231,0,2.88247,0.140652, -1.#IND, FALSE, 
232,0,2.86223,0.164379, -1.#IND, FALSE, 
233,0,2.84029,0.19328, -1.#IND, FALSE, 
234,0,2.81737,0.226487, -1.#IND, FALSE, 
235,0,2.79119,0.269454, -1.#IND, FALSE, 
236,0,2.76533,0.317375, -1.#IND, FALSE, 
237,0,2.73713,0.377345, -1.#IND, FALSE, 
238,0,2.7068,0.451058, -1.#IND, FALSE, 
239,0,2.67345,0.543948, -1.#IND, FALSE, 
240,0,2.6359,0.662576, -1.#IND, FALSE, 
241,0,2.5944,0.813117, -1.#IND, FALSE, 
242,0,2.55027,0.994061, -1.#IND, FALSE, 
243,0,2.50159,1.22177, -1.#IND, FALSE, 
244,0,2.44921,1.50057, -1.#IND, FALSE, 
245,0,2.39461,1.83183, -1.#IND, FALSE, 
246,0,0.805431,2.22722, -1.#IND, FALSE, 
247,0,0.868141,2.68326, -1.#IND, FALSE, 
248,0,0.932243,3.1884, -1.#IND, FALSE, 
249,0,0.994226,3.73588, -1.#IND, FALSE, 
250,0,1.05444,4.30932, -1.#IND, FALSE, 
251,0,2.02701,4.90224, -1.#IND, FALSE, 
252,0,1.96937,5.49842, -1.#IND, FALSE, 
253,0,1.91528,6.07418, -1.#IND, FALSE, 
254,0,1.8642,6.63036, -1.#IND, FALSE, 
255,0,1.81572,7.12422, -1.#IND, FALSE, 
256,0,1.77121,7.59822, -1.#IND, FALSE, 
257,0,1.72907,8.07091, -1.#IND, FALSE, 
258,0,1.68862,8.48176, -1.#IND, FALSE, 
259,0,1.64976,8.89765, -1.#IND, FALSE, 
260,0,1.61269,9.25842, -1.#IND, FALSE, 
261,0,1.57705,9.49642, -1.#IND, FALSE, 
262,0,1.54269,9.70534, -1.#IND, FALSE, 
263,0,1.50965,9.84834, -1.#IND, FALSE, 
264,0,1.47704,9.9798, -1.#IND, FALSE, 
265,0,1.4436,10.1134, -1.#IND, FALSE, 
266,0,1.41092,10.1768, -1.#IND, FALSE, 
267,0,1.37452,10.2377, -1.#IND, FALSE, 
268,0,1.34191,10.1448, -1.#IND, FALSE, 
269,0,1.30643,10.0269, -1.#IND, FALSE, 
270,0,1.26944,9.83967, -1.#IND, FALSE, 
271,0,1.22905,9.58786, -1.#IND, FALSE, 
272,0,1.95811,9.25407, -1.#IND, FALSE, 
273,0,2.01123,8.79983, -1.#IND, FALSE, 
274,0,2.06761,8.18909, -1.#IND, FALSE, 
275,0,2.13595,7.38645, -1.#IND, FALSE, 
276,0,2.2132,6.40495, -1.#IND, FALSE, 
277,0,2.2982,5.29771, -1.#IND, FALSE, 
278,0,2.39277,4.11536, -1.#IND, FALSE, 
279,0,2.48611,3.04618, -1.#IND, FALSE, 
280,0,2.57684,2.14902, -1.#IND, FALSE, 
281,0,2.66622,1.42903, -1.#IND, FALSE, 
282,0,2.74396,0.932113, -1.#IND, FALSE, 
283,0,2.81114,0.596256, -1.#IND, FALSE, 
284,0,2.86896,0.375672, -1.#IND, FALSE, 
285,0,2.91491,0.241643, -1.#IND, FALSE, 
286,0,2.95505,0.152891, -1.#IND, FALSE, 
287,0,2.99236,0.0920431, -1.#IND, FALSE, 
288,0,3.02632,0.0521497, -1.#IND, FALSE, 
289,0,3.05875,0.0257672, -1.#IND, FALSE, 
290,0,3.08722,0.010628, -1.#IND, FALSE, 
291,0,3.11385,0.00266335, -1.#IND, FALSE, 
292,0,3.13763,5.27E-05, -1.#IND, FALSE, 
293,0,3.12083,0.00139785, -1.#IND, FALSE, 
294,0,3.09704,0.00627506, -1.#IND, FALSE, 
295,0,3.07454,0.013871, -1.#IND, FALSE, 
296,0,3.05517,0.0225598, -1.#IND, FALSE, 
297,0,3.03607,0.033147, -1.#IND, FALSE, 
298,0,3.01786,0.0451128, -1.#IND, FALSE, 
299,0,2.99897,0.0593522, -1.#IND, FALSE, 
300,0,2.97916,0.0764554, -1.#IND, FALSE, 
301,0,2.95989,0.0955129, -1.#IND, FALSE, 
302,0,2.9378,0.120699, -1.#IND, FALSE, 
303,0,2.91459,0.150731, -1.#IND, FALSE, 
304,0,2.89051,0.185988, -1.#IND, FALSE, 
305,0,2.86465,0.229152, -1.#IND, FALSE, 
306,0,2.83904,0.279285, -1.#IND, FALSE, 
307,0,2.81005,0.345248, -1.#IND, FALSE, 
308,0,2.77932,0.426221, -1.#IND, FALSE, 
309,0,2.74573,0.529865, -1.#IND, FALSE, 
310,0,2.70971,0.659947, -1.#IND, FALSE, 
311,0,2.67219,0.817558, -1.#IND, FALSE, 
312,0,2.63226,1.013, -1.#IND, FALSE, 
313,0,2.59031,1.25587, -1.#IND, FALSE, 
314,0,2.54324,1.5686, -1.#IND, FALSE, 
315,0,2.48864,1.97311, -1.#IND, FALSE, 
316,0,2.42819,2.48096, -1.#IND, FALSE, 
317,0,2.36394,3.08131, -1.#IND, FALSE, 
318,0,0.84776,3.8025, -1.#IND, FALSE, 
319,0,0.919684,4.62998, -1.#IND, FALSE, 
320,0,0.988864,5.51953, -1.#IND, FALSE, 
321,0,2.09233,6.42065, -1.#IND, FALSE, 
322,0,2.03078,7.33629, -1.#IND, FALSE, 
323,0,1.97281,8.24978, -1.#IND, FALSE, 
324,0,1.9189,9.10285, -1.#IND, FALSE, 
325,0,1.86965,9.95421, -1.#IND, FALSE, 
