Data,SI,Sudut,m,n,Status,
1,0, 1.#QNAN, 1.#QNAN, 1.#QNAN, FALSE, 
2,0,2.11575,13.7606, -1.#IND, FALSE, 
3,0,2.58802, -1.#IND,0.58541, FALSE, 
4,0,2.21911, -1.#IND,0.161688, FALSE, 
5,0,1.64785,2.17157, -1.#IND, FALSE, 
6,0,1.5156, -1.#IND, -1.#IND, FALSE, 
7,0,1.31575,3.73419, -1.#IND, FALSE, 
8,0,1.38614, -1.#IND, -1.#IND, FALSE, 
9,0,1.38381, -1.#IND, -1.#IND, FALSE, 
10,0,1.38598, -1.#IND, -1.#IND, FALSE, 
11,0,1.34546,0.08915, -1.#IND, FALSE, 
12,0,1.33831, -1.#IND,9.11E-05, FALSE, 
13,0,1.33538,0.0855001, -1.#IND, FALSE, 
14,0,1.31684,0.554855, -1.#IND, FALSE, 
15,0,1.30623,0.721577,3.33E-05, FALSE, 
16,0,1.29716, -1.#IND, -1.#IND, FALSE, 
17,0,3.02451, -1.#IND,0.000896362, FALSE, 
18,0,3.05444, -1.#IND,0.0136594, FALSE, 
19,0,3.04306,2.63E-05, -1.#IND, FALSE, 
20,0,1.42827,0.113744,0.000813693, FALSE, 
21,0,1.58648,0.372351,5.72E-06, FALSE, 
22,0,1.60565, -1.#IND,1.55E-05, FALSE, 
23,0,1.5711, -1.#IND,4.56E-10, FALSE, 
24,0,1.56472, -1.#IND,4.31E-07, FALSE, 
25,0,1.61516,0.216162, -1.#IND, FALSE, 
26,0,1.6687,0.335158, -1.#IND, FALSE, 
27,0,1.61381,0.313137, -1.#IND, FALSE, 
28,0,1.57118,0.320664, -1.#IND, FALSE, 
29,0,1.42853, -1.#IND,0.000143553, FALSE, 
30,0,1.37111,3.07286,0.00303056, FALSE, 
31,0,1.34041,1.96669,0.00421059, FALSE, 
32,0,1.31683,1.63052,0.00553646, FALSE, 
33,0,1.30135,1.48694,0.00555534, FALSE, 
34,0,1.28691,1.34141,0.00524435, FALSE, 
35,0,1.27933,1.00759,0.00164227, FALSE, 
36,0,1.25581,0.707456,0.00128217, FALSE, 
37,0,1.22778,0.561688,0.00166705, FALSE, 
38,0,1.21273,11.9378, -1.#IND, FALSE, 
39,0,1.17623,3.00737, -1.#IND, FALSE, 
40,0,1.09525,1.85923, -1.#IND, FALSE, 
41,0,1.02023,1.88361, -1.#IND, FALSE, 
42,0,1.01765,3.58793, -1.#IND, FALSE, 
43,0,1.02162,183.968, -1.#IND, FALSE, 
44,0,1.01276,2.31173,0.0259108, FALSE, 
45,0,1.00231,0.396778,0.00879379, FALSE, 
46,0,0.95325,1.93693,0.033808, FALSE, 
47,0,0.900683,54.7292,0.350693, FALSE, 
48,0,0.795813,3.62936, -1.#IND, FALSE, 
49,0,2.4111,2.17306, -1.#IND, FALSE, 
50,0,2.51158,1.08357, -1.#IND, FALSE, 
51,0,2.47118,2.09514, -1.#IND, FALSE, 
52,0,2.49311,2.28345, -1.#IND, FALSE, 
53,0,2.48262,6.38745, -1.#IND, FALSE, 
54,0,2.516,6.07528, -1.#IND, FALSE, 
55,0,2.6273,0.993375, -1.#IND, FALSE, 
56,0,2.7138,0.468336, -1.#IND, FALSE, 
57,0,2.80256,0.232304, -1.#IND, FALSE, 
58,0,2.93726,0.0649564, -1.#IND, FALSE, 
