Data,STATUS,SI,
242,TRUE,1.75482, 
243,TRUE,1.75489, 
244,TRUE,1.75491, 
245,TRUE,1.75524, 
246,TRUE,1.75529, 
247,TRUE,1.75582, 
248,TRUE,1.75653, 
249,TRUE,1.75704, 
250,TRUE,1.75784, 
251,TRUE,1.75823, 
252,TRUE,1.75851, 
253,TRUE,1.75916, 
254,TRUE,1.75975, 
255,TRUE,1.76032, 
256,TRUE,1.76087, 
257,TRUE,1.76129, 
258,TRUE,1.76157, 
259,TRUE,1.76173, 
260,TRUE,1.76181, 
261,TRUE,1.76178, 
262,TRUE,1.76178, 
263,TRUE,1.76183, 
264,TRUE,1.76191, 
265,TRUE,1.76187, 
266,TRUE,1.76166, 
267,TRUE,1.76202, 
268,TRUE,1.76276, 
269,TRUE,1.76325, 
270,TRUE,1.76408, 
271,TRUE,1.76556, 
272,TRUE,1.76759, 
273,TRUE,1.76998, 
274,TRUE,1.77069, 
275,TRUE,1.77068, 
276,TRUE,1.77015, 
277,TRUE,1.76854, 
278,TRUE,1.76616, 
279,TRUE,1.76343, 
280,TRUE,1.76051, 
281,TRUE,1.75794, 
282,TRUE,1.75585, 
283,TRUE,1.75361, 
284,TRUE,1.75168, 
285,TRUE,1.74967, 
286,TRUE,1.74801, 
287,TRUE,1.74745, 
288,TRUE,1.74787, 
289,TRUE,1.74914, 
290,TRUE,1.74957, 
291,TRUE,1.75018, 
292,TRUE,1.75037, 
293,TRUE,1.75093, 
294,TRUE,1.7515, 
295,TRUE,1.75173, 
296,TRUE,1.7513, 
297,TRUE,1.75108, 
298,TRUE,1.75074, 
299,TRUE,1.7504, 
300,TRUE,1.7502, 
301,TRUE,1.74995, 
302,TRUE,1.74995, 
303,TRUE,1.74999, 
304,TRUE,1.75008, 
305,TRUE,1.75023, 
306,TRUE,1.75049, 
307,TRUE,1.75071, 
308,TRUE,1.75109, 
309,TRUE,1.75146, 
310,TRUE,1.75195, 
311,TRUE,1.7527, 
312,TRUE,1.75357, 
313,TRUE,1.75442, 
314,TRUE,1.75509, 
315,TRUE,1.75575, 
316,TRUE,1.7563, 
317,TRUE,1.75724, 
318,TRUE,1.75778, 
319,TRUE,1.75768, 
320,TRUE,1.75763, 
321,TRUE,1.75848, 
322,TRUE,1.75922, 
323,TRUE,1.75991, 
324,TRUE,1.76069, 
325,TRUE,1.7614, 
326,TRUE,1.76208, 
327,TRUE,1.76262, 
328,TRUE,1.76305, 
329,TRUE,1.76333, 
330,TRUE,1.76353, 
331,TRUE,1.76366, 
332,TRUE,1.76371, 
333,TRUE,1.76365, 
334,TRUE,1.76328, 
335,TRUE,1.76306, 
336,TRUE,1.76279, 
337,TRUE,1.7626, 
338,TRUE,1.76267, 
339,TRUE,1.76262, 
340,TRUE,1.76231, 
341,TRUE,1.76151, 
342,TRUE,1.7609, 
343,TRUE,1.76146, 
344,TRUE,1.76243, 
345,TRUE,1.76415, 
346,TRUE,1.76704, 
347,TRUE,1.76829, 
348,TRUE,1.7687, 
349,TRUE,1.76885, 
350,TRUE,1.76706, 
351,TRUE,1.76448, 
352,TRUE,1.76184, 
353,TRUE,1.75931, 
354,TRUE,1.75705, 
355,TRUE,1.75524, 
356,TRUE,1.75454, 
357,TRUE,1.75464, 
358,TRUE,1.75455, 
359,TRUE,1.75385, 
360,TRUE,1.75387, 
361,TRUE,1.75327, 
362,TRUE,1.75338, 
363,TRUE,1.75418, 
364,TRUE,1.75464, 
365,TRUE,1.75562, 
366,TRUE,1.75575, 
367,TRUE,1.75629, 
368,TRUE,1.75681, 
369,TRUE,1.75722, 
370,TRUE,1.75762, 
371,TRUE,1.75781, 
372,TRUE,1.75793, 
373,TRUE,1.75788, 
374,TRUE,1.75787, 
375,TRUE,1.75781, 
376,TRUE,1.75754, 
