No,SI,Sudut,m,n,Status,
109,1.7479,2.816,0.0722567,2.411, TRUE, 
110,1.74831,2.81832,0.0714015,2.38972, TRUE, 
111,1.74854,2.82106,0.0703753,2.36842, TRUE, 
112,1.74858,2.82155,0.0701922,2.36474, TRUE, 
113,1.74858,2.82148,0.0702201,2.36524, TRUE, 
114,1.74849,2.82241,0.0698551,2.35967, TRUE, 
115,1.74803,2.82463,0.0689674,2.34858, TRUE, 
116,1.74823,2.82353,0.0694055,2.35425, TRUE, 
117,1.7485,2.82249,0.0698272,2.35912, TRUE, 
118,1.74803,2.82366,0.0693359,2.35462, TRUE, 
119,1.74796,2.82381,0.0692753,2.3541, TRUE, 
120,1.74875,2.82208,0.0700027,2.36019, TRUE, 
121,1.75076,2.81783,0.0718141,2.3756, TRUE, 
122,1.75285,2.81418,0.0734152,2.38755, TRUE, 
123,1.75473,2.81139,0.0746763,2.39554, TRUE, 
124,1.75676,2.80869,0.0759202,2.40243, TRUE, 
125,1.75946,2.80534,0.0774961,2.41044, TRUE, 
126,1.76258,2.80177,0.0792152,2.41817, TRUE, 
127,1.76547,2.79878,0.0806952,2.42359, TRUE, 
128,1.76808,2.7963,0.0819547,2.42724, TRUE, 
129,1.77392,2.79052,0.084896,2.43753, TRUE, 
130,1.77917,2.78585,0.0873657,2.44395, TRUE, 
131,1.78604,2.77986,0.0905952,2.45216, TRUE, 
132,1.78859,2.77801,0.0916559,2.45296, TRUE, 
133,1.78922,2.77759,0.0919036,2.45293, TRUE, 
134,1.78557,2.77968,0.0906227,2.45472, TRUE, 
135,1.77978,2.78264,0.0887607,2.45893, TRUE, 
136,1.7743,2.78532,0.0870668,2.46327, TRUE, 
137,1.76868,2.7879,0.0854261,2.46824, TRUE, 
138,1.76223,2.79031,0.0837842,2.47487, TRUE, 
139,1.75629,2.79223,0.0824157,2.48128, TRUE, 
140,1.75087,2.79406,0.0811501,2.48714, TRUE, 
141,1.74621,2.79532,0.0801954,2.4923, TRUE, 
142,1.74252,2.79609,0.0795375,2.49632, TRUE, 
143,1.73918,2.79672,0.078968,2.49995, TRUE, 
144,1.73608,2.79726,0.0784639,2.50329, TRUE, 
145,1.73418,2.79742,0.0782212,2.50515, TRUE, 
146,1.73228,2.79756,0.0779892,2.50699, TRUE, 
147,1.7316,2.79752,0.0779394,2.5075, TRUE, 
148,1.73122,2.79747,0.0779226,2.50773, TRUE, 
149,1.73012,2.79737,0.0778585,2.50848, TRUE, 
150,1.73006,2.79736,0.07786,2.5085, TRUE, 
151,1.72967,2.79723,0.0778726,2.50856, TRUE, 
152,1.72932,2.79708,0.0778989,2.50853, TRUE, 
153,1.72981,2.79763,0.0777287,2.50949, TRUE, 
154,1.72998,2.79786,0.0776567,2.50991, TRUE, 
155,1.73001,2.79791,0.0776396,2.51002, TRUE, 
156,1.7301,2.7983,0.0774934,2.51103, TRUE, 
157,1.73007,2.79909,0.0771805,2.51339, TRUE, 
158,1.73007,2.79908,0.0771847,2.51336, TRUE, 
159,1.73011,2.79861,0.0773738,2.51194, TRUE, 
160,1.73022,2.79783,0.0776886,2.50956, TRUE, 
161,1.73043,2.79726,0.0779315,2.5076, TRUE, 
162,1.73078,2.79654,0.0782487,2.50497, TRUE, 
163,1.73117,2.7959,0.0785369,2.50247, TRUE, 
164,1.73135,2.79567,0.0786473,2.50146, TRUE, 
165,1.73141,2.7956,0.0786782,2.50116, TRUE, 
166,1.73223,2.79473,0.0791043,2.49707, TRUE, 
167,1.73345,2.7935,0.0797071,2.49127, TRUE, 
168,1.73456,2.79251,0.080208,2.48619, TRUE, 
169,1.73567,2.79161,0.0806749,2.48127, TRUE, 
170,1.73665,2.79087,0.0810663,2.47694, TRUE, 
171,1.73781,2.79006,0.0815054,2.4719, TRUE, 
172,1.73972,2.7888,0.0822007,2.46388, TRUE, 
173,1.74178,2.78752,0.0829231,2.45529, TRUE, 
174,1.74387,2.78631,0.0836269,2.44653, TRUE, 
175,1.74593,2.7852,0.0842884,2.43784, TRUE, 
176,1.74786,2.78425,0.0848786,2.42956, TRUE, 
177,1.74969,2.78341,0.0854126,2.42149, TRUE, 
178,1.75154,2.78265,0.0859217,2.41309, TRUE, 
179,1.75318,2.78204,0.0863451,2.40537, TRUE, 
180,1.75465,2.78157,0.0866958,2.39811, TRUE, 
181,1.75602,2.78122,0.0869891,2.39084, TRUE, 
182,1.75727,2.78101,0.0872152,2.38358, TRUE, 
183,1.7584,2.781,0.0873468,2.37591, TRUE, 
184,1.75923,2.78102,0.087431,2.37, TRUE, 
185,1.7597,2.78107,0.0874626,2.36638, TRUE, 
186,1.76003,2.7812,0.0874507,2.36313, TRUE, 
187,1.76026,2.7816,0.0873122,2.35839, TRUE, 
188,1.76034,2.782,0.0871639,2.35474, TRUE, 
189,1.76004,2.78277,0.0868206,2.35047, TRUE, 
190,1.75972,2.78343,0.0865214,2.3472, TRUE, 
191,1.75944,2.78392,0.0862895,2.34501, TRUE, 
192,1.75965,2.78361,0.086439,2.34622, TRUE, 
193,1.78085,2.77162,0.0937275,2.33368, TRUE, 
194,1.80279,2.76065,0.101012,2.31601, TRUE, 
195,1.82675,2.74916,0.109118,2.29755, TRUE, 
196,1.85086,2.7389,0.117056,2.27655, TRUE, 
197,1.87504,2.72956,0.12491,2.25484, TRUE, 
198,1.90365,2.71691,0.135429,2.23561, TRUE, 
199,1.9315,2.70675,0.145059,2.21537, TRUE, 
200,1.9593,2.69702,0.154891,2.19462, TRUE, 
201,1.98878,2.68624,0.166037,2.17381, TRUE, 
202,2.01791,2.67602,0.177312,2.15269, TRUE, 
203,2.04283,2.66998,0.185766,2.13525, TRUE, 
204,2.06264,2.66727,0.191428,2.12243, TRUE, 
205,2.0752,2.6705,0.192035,2.12042, TRUE, 
206,2.08404,2.67502,0.191019,2.12262, TRUE, 
207,2.09075,2.68035,0.189008,2.12786, TRUE, 
208,2.09456,2.68703,0.185487,2.13777, TRUE, 
209,2.09853,2.69289,0.182486,2.14688, TRUE, 
210,2.10151,2.69906,0.179056,2.15794, TRUE, 
211,2.10539,2.70396,0.176588,2.16713, TRUE, 
212,2.10805,2.71078,0.172625,2.18086, TRUE, 
213,2.11019,2.71831,0.16808,2.19665, TRUE, 
214,2.11138,2.72533,0.1637,2.21204, TRUE, 
215,2.11171,2.73317,0.15865,2.22988, TRUE, 
216,2.11456,2.74092,0.154073,2.24653, TRUE, 
217,2.11512,2.75117,0.147536,2.27016, TRUE, 
218,2.11321,2.76297,0.139698,2.29945, TRUE, 
219,2.11061,2.77525,0.131588,2.331, TRUE, 
220,2.10668,2.7873,0.12361,2.36384, TRUE, 
221,2.10139,2.7996,0.115501,2.39948, TRUE, 
222,2.09575,2.80947,0.108999,2.43032, TRUE, 
223,2.08933,2.81965,0.102405,2.46383, TRUE, 
224,2.08303,2.8298,0.0960284,2.49819, TRUE, 
225,2.07484,2.83939,0.0899727,2.53504, TRUE, 
226,2.06661,2.84889,0.0841597,2.57326, TRUE, 
227,2.05607,2.85806,0.0785225,2.61678, TRUE, 
228,2.04589,2.86492,0.0742743,2.65529, TRUE, 
229,2.03494,2.87144,0.0702681,2.69707, TRUE, 
230,2.02493,2.87648,0.0671538,2.73482, TRUE, 
231,2.0169,2.88015,0.0648905,2.76545, TRUE, 
232,2.00837,2.88382,0.0626434,2.79959, TRUE, 
233,2.00044,2.88632,0.0610111,2.83073, TRUE, 
234,1.99326,2.88892,0.0594041,2.86163, TRUE, 
235,1.98661,2.88989,0.0585686,2.88865, TRUE, 
236,1.97995,2.89068,0.0578175,2.91787, TRUE, 
237,1.97409,2.89089,0.0573661,2.94512, TRUE, 
238,1.96736,2.89117,0.056837,2.9796, TRUE, 
239,1.96166,2.89117,0.0564909,3.01175, TRUE, 
240,1.95625,2.89116,0.0561654,3.04532, TRUE, 
241,1.95277,2.88982,0.0565145,3.07111, TRUE, 
242,1.94883,2.88845,0.0568413,3.10289, TRUE, 
243,1.94596,2.8866,0.0574333,3.13224, TRUE, 
244,1.94433,2.88412,0.0583642,3.15833, TRUE, 
245,1.94369,2.88132,0.0594993,3.18225, TRUE, 
246,1.94299,2.87781,0.0609328,3.21241, TRUE, 
247,1.94263,2.87368,0.0626692,3.24722, TRUE, 
248,1.94486,2.86909,0.0647935,3.27076, TRUE, 
249,1.94749,2.86379,0.0672922,3.29948, TRUE, 
250,1.95201,2.85804,0.0701733,3.32241, TRUE, 
251,1.95798,2.85173,0.0734814,3.34324, TRUE, 
252,1.96555,2.84472,0.0773191,3.36187, TRUE, 
253,1.97495,2.83708,0.0817095,3.37697, TRUE, 
254,1.9853,2.82857,0.0867355,3.39708, TRUE, 
255,1.99867,2.8196,0.0924414,3.40524, TRUE, 
256,2.01588,2.81069,0.0987119,3.39313, TRUE, 
257,2.03563,2.8018,0.105495,3.37099, TRUE, 
258,2.0574,2.79304,0.11272,3.34204, TRUE, 
259,2.08077,2.78406,0.120566,3.31014, TRUE, 
260,2.10564,2.77468,0.129183,3.28012, TRUE, 
261,2.13207,2.76503,0.138562,3.2482, TRUE, 
262,2.1599,2.7551,0.148743,3.21763, TRUE, 
263,2.18855,2.74652,0.158635,3.18217, TRUE, 
264,2.21769,2.73862,0.168583,3.14505, TRUE, 
265,2.24641,2.73227,0.177797,3.10877, TRUE, 
266,2.27573,2.72601,0.187393,3.07744, TRUE, 
267,2.30644,2.71857,0.198496,3.04733, TRUE, 
268,2.33461,2.71444,0.207001,3.02106, TRUE, 
269,2.36071,2.71261,0.213521,3.00254, TRUE, 
270,2.38806,2.70948,0.221497,2.98486, TRUE, 
271,2.41364,2.70808,0.227854,2.97447, TRUE, 
272,2.4388,2.70686,0.234098,2.9657, TRUE, 
273,2.45815,2.70959,0.23579,2.96004, TRUE, 
274,2.47292,2.71521,0.233896,2.96175, TRUE, 
275,2.48287,2.72375,0.228264,2.97237, TRUE, 
276,2.48674,2.73522,0.218702,2.99244, TRUE, 
277,2.48688,2.74721,0.207989,3.01591, TRUE, 
278,2.48159,2.76164,0.194272,3.05012, TRUE, 
279,2.47311,2.77591,0.180488,3.08767, TRUE, 
280,2.46017,2.79038,0.166278,3.13229, TRUE, 
281,2.44707,2.80323,0.153888,3.17519, TRUE, 
282,2.43216,2.81702,0.141009,3.22436, TRUE, 
283,2.41833,2.82863,0.130463,3.26852, TRUE, 
284,2.40376,2.84009,0.120364,3.31519, TRUE, 
285,2.39328,2.84677,0.114478,3.34763, TRUE, 
286,2.3839,2.85267,0.109403,3.37882, TRUE, 
287,2.37325,2.85848,0.104405,3.41195, TRUE, 
288,2.36373,2.86323,0.100347,3.44157, TRUE, 
289,2.35295,2.86814,0.0961722,3.47481, TRUE, 
290,2.342,2.87298,0.0921334,3.51086, TRUE, 
291,2.33109,2.87748,0.0884195,3.54791, TRUE, 
292,2.31824,2.8822,0.0845212,3.59167, TRUE, 
293,2.30176,2.88774,0.0799816,3.64914, TRUE, 
294,2.28742,2.89173,0.0766432,3.69917, TRUE, 
295,2.27424,2.8947,0.074054,3.74449, TRUE, 
296,2.26172,2.89699,0.0719398,3.78803, TRUE, 
297,2.24956,2.89879,0.0701609,3.83201, TRUE, 
298,2.23717,2.90031,0.0685499,3.87868, TRUE, 
299,2.22797,2.90057,0.0678316,3.91282, TRUE, 
300,2.21926,2.90042,0.0673615,3.94594, TRUE, 
301,2.21197,2.89964,0.0673097,3.9726, TRUE, 
302,2.20536,2.89853,0.0674714,3.99774, TRUE, 
303,2.19937,2.89712,0.0678243,4.02076, TRUE, 
304,2.19258,2.89572,0.0681086,4.05241, TRUE, 
305,2.18598,2.89407,0.0685334,4.08585, TRUE, 
306,2.18122,2.89187,0.0693606,4.11138, TRUE, 
307,2.17832,2.88917,0.0705624,4.12801, TRUE, 
308,2.17357,2.88663,0.0715622,4.16035, TRUE, 
309,2.16976,2.88372,0.0728112,4.19088, TRUE, 
310,2.16865,2.88022,0.0745641,4.20725, TRUE, 
311,2.16816,2.87642,0.0765358,4.22383, TRUE, 
312,2.16768,2.87239,0.0786474,4.24555, TRUE, 
313,2.16695,2.8681,0.0808948,4.27508, TRUE, 
314,2.1675,2.86342,0.0834729,4.30185, TRUE, 
315,2.16988,2.85828,0.0864901,4.32151, TRUE, 
316,2.17353,2.85276,0.0898693,4.33836, TRUE, 
317,2.17811,2.84685,0.0936075,4.35583, TRUE, 
318,2.18378,2.84058,0.0977254,4.37303, TRUE, 
319,2.1912,2.83386,0.102358,4.38514, TRUE, 
320,2.20036,2.82671,0.107533,4.39243, TRUE, 
321,2.20916,2.81905,0.113097,4.41381, TRUE, 
322,2.22019,2.81086,0.119381,4.42858, TRUE, 
323,2.23213,2.80209,0.126302,4.44908, TRUE, 
324,2.24836,2.79287,0.134262,4.44599, TRUE, 
325,2.26735,2.78324,0.143131,4.43203, TRUE, 
326,2.2899,2.77358,0.15284,4.39865, TRUE, 
327,2.31473,2.76413,0.163132,4.35467, TRUE, 
328,2.34097,2.75441,0.174245,4.30918, TRUE, 
329,2.36883,2.74462,0.186146,4.26014, TRUE, 
330,2.39777,2.73597,0.197839,4.20399, TRUE, 
331,2.4263,2.72847,0.209004,4.14853, TRUE, 
332,2.45638,2.72003,0.221666,4.09356, TRUE, 
333,2.48646,2.71275,0.233833,4.03812, TRUE, 
334,2.51636,2.70654,0.245492,3.98396, TRUE, 
335,2.54685,2.70026,0.25774,3.93143, TRUE, 
336,2.57641,2.6946,0.26964,3.88205, TRUE, 
337,2.60318,2.69127,0.279063,3.83879, TRUE, 
338,2.62739,2.68909,0.286981,3.80135, TRUE, 
339,2.649,2.68927,0.292092,3.77107, TRUE, 
340,2.67152,2.68955,0.297365,3.74295, TRUE, 
341,2.69421,2.68925,0.303335,3.71588, TRUE, 
342,2.71467,2.69105,0.306578,3.69789, TRUE, 
343,2.73653,2.6918,0.311263,3.6815, TRUE, 
344,2.74969,2.69693,0.30898,3.67714, TRUE, 
345,2.75359,2.70758,0.2982,3.69411, TRUE, 
346,2.75422,2.71913,0.285584,3.71714, TRUE, 
347,2.74595,2.73304,0.268479,3.75515, TRUE, 
348,2.73095,2.74878,0.248385,3.80759, TRUE, 
349,2.71212,2.76531,0.227395,3.86979, TRUE, 
350,2.6937,2.77984,0.209349,3.92841, TRUE, 
351,2.67534,2.79214,0.194198,3.98384, TRUE, 
352,2.65779,2.8025,0.181593,4.03545, TRUE, 
353,2.64041,2.8117,0.170534,4.08777, TRUE, 
354,2.62463,2.81941,0.161414,4.13611, TRUE, 
355,2.60795,2.82721,0.152394,4.18844, TRUE, 
356,2.58877,2.83597,0.14258,4.25097, TRUE, 
357,2.57027,2.84382,0.133959,4.31404, TRUE, 
358,2.55283,2.8504,0.126796,4.37125, TRUE, 
359,2.53809,2.85521,0.121507,4.41915, TRUE, 
360,2.52399,2.85973,0.116648,4.46877, TRUE, 
361,2.50922,2.8641,0.111968,4.52182, TRUE, 
362,2.49549,2.86804,0.107813,4.57494, TRUE, 
363,2.48059,2.87166,0.103895,4.63105, TRUE, 
364,2.46933,2.8737,0.10148,4.67138, TRUE, 
365,2.45927,2.87516,0.0996168,4.70703, TRUE, 
366,2.44969,2.87628,0.0980448,4.74141, TRUE, 
367,2.44102,2.87726,0.096659,4.77504, TRUE, 
368,2.43165,2.87802,0.0953828,4.81173, TRUE, 
369,2.42271,2.87852,0.094324,4.84823, TRUE, 
370,2.41377,2.87855,0.0935821,4.88329, TRUE, 
371,2.40569,2.87842,0.0930185,4.91812, TRUE, 
372,2.39805,2.87801,0.0926666,4.95279, TRUE, 
373,2.39153,2.87733,0.0925825,4.98406, TRUE, 
374,2.38599,2.87631,0.0927931,5.01158, TRUE, 
375,2.38208,2.87475,0.0934799,5.02968, TRUE, 
376,2.37745,2.87321,0.0940969,5.0567, TRUE, 
377,2.37257,2.87161,0.0947181,5.0905, TRUE, 
378,2.36908,2.86959,0.0957265,5.11893, TRUE, 
379,2.36774,2.86708,0.0972273,5.13483, TRUE, 
380,2.36684,2.86446,0.0988501,5.15229, TRUE, 
381,2.36789,2.86137,0.100953,5.15834, TRUE, 
382,2.36931,2.85811,0.103225,5.16665, TRUE, 
383,2.37114,2.85465,0.105686,5.17728, TRUE, 
