Time,PV,OP
121,0.607821521,-0.723895312
122,0.787470874,-1.695986987
123,0.855464038,-2.341517687
124,0.583216723,-2.788928271
125,0.382327136,-2.943282366
126,0.348177966,-3.015296221
127,0.158221301,-2.979537249
128,0.112582263,-2.7237885
129,-0.08735365,-2.305629015
130,-0.220868054,-1.90933919
131,0.141108569,-1.631667376
132,0.065012988,-1.363597155
133,-0.115948621,-1.099509478
134,-0.320172254,-0.77797246
135,-0.593769971,0.028671979
136,-0.411923352,0.753010511
137,-0.331631604,1.127983808
138,-0.045430127,1.478295087
139,-0.167439405,1.568299055
140,-0.068295423,1.393341779
141,0.747790393,0.381291151
142,1.057284411,-0.689090014
143,0.728884753,-1.669917346
144,0.793139514,-2.24842763
145,0.450602588,-2.425162554
146,0.363360461,-2.593554736
147,0.331095752,-2.664683581
148,0.351969775,-2.823642016
149,0.304522571,-2.828269244
150,-0.184613172,-2.266406298
151,-0.356480542,-1.400531054
152,-0.313809339,-0.611792803
153,-0.383244458,0.075424909
154,0.198145923,0.429482221
155,-0.026379529,0.656250715
156,-0.00923628,0.783982038
157,-0.047337476,0.850968122
158,0.505564746,0.845104932
159,-0.194149915,0.827828168
160,-0.154087964,0.981888532
161,0.361460742,0.720581769
162,0.547236499,0.089382886
163,0.289332446,-0.286147357
164,-0.280056897,-0.166476489
165,0.245646533,-0.422957659
166,0.260844287,-1.190287829
167,0.61350542,-1.59519887
168,0.346278247,-1.96786809
169,0.393717822,-2.379950762
170,0.327303943,-2.421889544
171,-0.228505078,-1.971671343
172,-0.534390393,-1.102713824
173,-0.845074597,-0.479052783
174,-0.601429883,0.239334821
175,-0.683857862,0.826004743
176,-0.142651502,1.306675672
177,-0.387066785,1.535301923
178,-0.220868054,1.696053266
179,-0.079731885,1.922604322
180,-0.257145825,2.164517164
181,0.085948047,2.05695796
182,0.482821521,1.692707777
183,0.460078296,1.271507978
184,0.526400622,0.712181806
185,0.427844104,0.27387309
186,0.365252551,-0.077513934
187,0.101168689,-0.162520648
188,0.065012988,-0.066241503
189,0.241847095,0.074036359
190,-0.020665113,0.263069868
191,0.291224536,0.459130048
192,0.376643237,0.238034009
193,0.556704577,-0.1052773
194,0.363360461,-0.468867541
195,0.190547046,-0.286917925
196,0.011706408,0.072502851
197,0.247546252,-0.008593798
198,0.391810473,-0.053263903
199,0.264643725,-0.274493456
200,0.276034411,-0.492930651
201,0.13920885,-0.781920672
202,0.074526843,-0.459471941
203,-0.666600171,0.120556592
204,-0.394711438,0.619026899
205,-0.075917188,0.948418378
206,-0.117855969,0.951523542
207,-0.241871778,1.228630781
208,0.042170581,1.220215559
209,0.736453113,0.600418806
210,0.533984241,0.131935834
211,0.785586413,-0.527426959
212,0.825251636,-1.02186513
213,0.781802234,-1.677691699
214,0.755351123,-2.044745684
215,0.433543262,-2.498011828
216,0.405093249,-2.742137194
217,-0.093075696,-2.208426714
218,-0.253323499,-1.460570574
219,-0.207508985,-0.870055438
220,-0.400448743,-0.055426837
221,-0.25141615,0.725949048
222,-0.064488355,1.170441389
223,-0.234234754,1.392941236
224,-0.093075696,1.436405897
225,0.16012865,1.180855512
226,0.380435046,0.567387342
227,0.543452319,0.20438838
228,0.908320483,-0.982962847
229,0.87623125,-1.940802813
230,0.776141223,-2.580001116
231,0.838473376,-3.460044146
232,1.219195422,-4.052443743
233,0.672160205,-4.428248644
234,0.27983385,-4.030307055
235,0.038363513,-3.456752062
236,-0.411923352,-2.187587023
237,-0.322079602,-1.354666949
238,-0.84315199,0.233357191
239,-0.419575635,1.237183332
240,-1.297512952,2.769108533
241,-0.933476392,4.22378993
242,-0.329724256,5.21314311
243,0.127795276,5.631947278
244,0.774241504,5.207089185
245,1.18532854,4.796688795
246,1.587229785,4.123997449
247,1.377085742,3.094551801
248,1.081774768,2.737358808
249,1.641566333,1.579758405
250,1.85115343,0.378788709
251,1.245524463,-0.331485034
252,1.098727283,-0.744567156
253,1.012049731,-1.221846819
254,0.976222095,-1.551993609
255,0.713763293,-1.697631121
256,0.634318408,-1.76733327
257,0.571856555,-1.371310473
258,1.093073901,-1.76550603
259,1.305689868,-2.907759905
260,0.732668933,-3.191767931
261,0.717539844,-3.264506579
262,0.163928088,-3.026923419
263,0.103068408,-2.360015154
264,0.600253161,-2.310549975
265,0.989428576,-2.907725573
266,1.128855762,-3.654464007
267,1.279376086,-4.230986834
268,1.269969043,-4.634993792
269,1.298174914,-4.916373492
270,1.232363757,-5.287326098
271,1.106257495,-5.267966509
272,0.827136096,-4.976813555
273,0.913981494,-4.837699175
274,0.998850879,-4.505259753
275,0.774241504,-3.820616961
276,0.645670947,-3.270831347
277,0.95359331,-2.903125048
278,1.491595325,-3.166796923
279,1.808146533,-3.920924426
280,1.770731982,-4.723826647
281,1.853022632,-5.433604479
282,1.935236987,-5.930941821
283,1.215434131,-5.881129504
284,1.181559619,-5.463843585
285,1.102496203,-5.366797686
286,0.870570239,-5.395625353
287,0.596468982,-4.804839373
288,0.594569262,-4.328109026
289,0.384226855,-3.860015154
290,0.825251636,-3.559767962
291,0.711871203,-3.391337634
292,0.823359546,-3.023947955
293,0.552920398,-2.720614672
294,0.386126575,-2.000430346
295,0.505564746,-1.410178423
296,0.87812334,-1.771720171
297,1.134501513,-2.050452471
298,0.728884753,-2.46919942
299,1.059168872,-2.553897143
300,0.821475085,-2.389838458
301,0.590785083,-1.942092181
302,0.319705066,-1.340388537
303,0.357661304,-0.52400899
304,0.532084521,-0.176089526
305,0.270342883,0.348000288
306,0.173434314,0.811188459
307,0.467654284,1.269181013
308,0.728884753,1.378094434
309,0.513140735,1.660950422
310,0.787470874,1.766403913
311,0.560496387,1.931145429
312,1.094958362,1.90776515
313,0.551020679,1.967736005
314,0.791247424,2.043164014
315,0.783694324,1.820954084
316,0.526400622,1.875298261
317,0.53966051,1.882191419
318,0.526400622,2.039566755
319,0.505564746,2.215477705
320,0.304522571,2.555149793
321,0.566180285,2.701634168
322,1.37333208,2.156197309
323,1.283129748,1.565537214
324,1.068583545,1.024803876
325,0.812029895,0.74621272
326,1.128855762,0.341530561
327,0.906428393,0.009667158
328,0.910204944,-0.222693682
329,1.098727283,-0.51393056
330,0.43922716,-0.146121264
331,0.427844104,0.22989726
332,0.346278247,0.685654401
333,0.556704577,1.131409406
334,0.624857959,1.401051282
335,0.847910937,1.466908216
336,1.15709978,0.437500715
337,1.615336474,-0.610015154
338,1.326357898,-1.538993121
339,1.08931261,-2.058715106
340,0.649455127,-2.250064135
341,0.329196033,-2.276187182
342,0.283640918,-1.955973864
343,0.232348498,-1.650885821
344,0.034556445,-1.431842089
345,0.084040698,-1.109519244
346,0.057398852,-0.959010363
347,0.188639697,-0.638686419
348,0.057398852,-0.35068822
349,-0.016850415,0.152653455
350,0.034556445,0.43182826
351,0.346278247,0.265263319
